data,denominazione_regione,totale_casi,terapia_intensiva,ricoverati_con_sintomi,totale_casi_lag,incremento,PL_area_non_critica,PL_terapia_intensiva,popolazione,nuovi_vaccinati,vaccinati,incidenza,saturazione_ti,saturazione_area_non_critica,casi_soglia_50,casi_soglia_150,casi_soglia_250,vaccinati_suscettibili,suscettibili,casi_soglia_50_suscettibili,casi_soglia_150_suscettibili,casi_soglia_250_suscettibili,soglia_50_effettiva,soglia_150_effettiva,soglia_250_effettiva,moltiplicatore_vaccini,soglia_50_equivalente,soglia_150_equivalente,soglia_250_equivalente,indicatore_stress
2021-01-01,Lombardia,481959,487,3352,469883,12076,6369,1416,9966992,0,1,121.16,0.34,0.53,4983.5,14950.49,24917.48,0,9966991,4983.5,14950.49,24917.48,50,150,250,1,50,150,250,2.42
2021-01-01,P.A. Bolzano,29764,27,159,28722,1042,391,100,533715,0,4,195.24,0.27,0.41,266.86,800.57,1334.29,0,533711,266.86,800.57,1334.28,50,150,250,1,50,150,250,3.9
2021-01-01,P.A. Trento,22033,39,362,20839,1194,517,60,544745,0,1,219.19,0.65,0.7,272.37,817.12,1361.86,0,544744,272.37,817.12,1361.86,50,150,250,1,50,150,250,4.38
2021-01-01,Piemonte,198886,184,2784,193375,5511,5824,628,4273210,2,10,128.97,0.29,0.48,2136.6,6409.82,10683.03,1,4273201,2136.6,6409.8,10683,50,150,250,1,50,150,250,2.58
2021-01-01,Puglia,92359,137,1476,85674,6685,2799,462,3926931,0,2,170.23,0.3,0.53,1963.47,5890.4,9817.33,0,3926929,1963.46,5890.39,9817.32,50,150,250,1,50,150,250,3.4
2021-01-01,Sardegna,31478,42,479,29876,1602,1602,216,1598225,0,1,100.24,0.19,0.3,799.11,2397.34,3995.56,0,1598224,799.11,2397.34,3995.56,50,150,250,1,50,150,250,2
2021-01-01,Sicilia,94766,176,1073,88597,6169,2918,644,4840876,0,2,127.44,0.27,0.37,2420.44,7261.31,12102.19,0,4840874,2420.44,7261.31,12102.19,50,150,250,1,50,150,250,2.55
2021-01-01,Toscana,120917,143,810,118155,2762,5033,570,3668333,2,8,75.29,0.25,0.16,1834.17,5502.5,9170.83,0,3668325,1834.16,5502.49,9170.81,50,150,250,1,50,150,250,1.51
2021-01-01,Umbria,29188,46,254,27977,1211,671,97,865013,1,1,140,0.47,0.38,432.51,1297.52,2162.53,0,865012,432.51,1297.52,2162.53,50,150,250,1,50,150,250,2.8
2021-01-01,Veneto,258680,372,2657,234792,23888,6000,1000,4852453,4,11,492.29,0.37,0.44,2426.23,7278.68,12131.13,1,4852443,2426.22,7278.66,12131.11,50,150,250,1,50,150,250,9.85
2021-01-01,Italia,2129376,2553,22822,2028354,101022,55543,8549,59257566,14,76,170.48,0.3,0.41,29628.78,88886.35,148143.91,4,59257494,29628.75,88886.24,148143.73,50,150,250,1,50,150,250,3.41
2021-01-02,Abruzzo,35746,37,443,34471,1275,1324,185,1285256,0,0,99.2,0.2,0.33,642.63,1927.88,3213.14,0,1285256,642.63,1927.88,3213.14,50,150,250,1,50,150,250,1.98
2021-01-02,Basilicata,11021,3,93,10472,549,342,88,547579,2,2,100.26,0.03,0.27,273.79,821.37,1368.95,0,547577,273.79,821.37,1368.94,50,150,250,1,50,150,250,2.01
2021-01-02,Calabria,24440,19,234,22515,1925,821,151,1877728,0,0,102.52,0.13,0.29,938.86,2816.59,4694.32,0,1877728,938.86,2816.59,4694.32,50,150,250,1,50,150,250,2.05
2021-01-02,Campania,191799,99,1355,185821,5978,3832,569,5679759,7,15,105.25,0.17,0.35,2839.88,8519.64,14199.4,1,5679745,2839.87,8519.62,14199.36,50,150,250,1,50,150,250,2.11
2021-01-02,Emilia-Romagna,176170,229,2649,165044,11126,6538,760,4445549,1,8,250.27,0.3,0.41,2222.77,6668.32,11113.87,0,4445541,2222.77,6668.31,11113.85,50,150,250,1,50,150,250,5.01
2021-01-02,Friuli Venezia Giulia,51101,63,652,47523,3578,1277,175,1198753,3,4,298.48,0.36,0.51,599.38,1798.13,2996.88,0,1198749,599.37,1798.12,2996.87,50,150,250,1,50,150,250,5.97
2021-01-02,Lazio,166239,315,2792,156790,9449,6421,943,5720796,6,16,165.17,0.33,0.43,2860.4,8581.19,14301.99,1,5720781,2860.39,8581.17,14301.95,50,150,250,1,50,150,250,3.3
2021-01-02,Liguria,61084,66,674,59005,2079,1670,214,1509805,0,2,137.7,0.31,0.4,754.9,2264.71,3774.51,0,1509803,754.9,2264.7,3774.51,50,150,250,1,50,150,250,2.75
2021-01-02,Lombardia,483361,491,3293,471489,11872,6369,1416,9966992,0,1,119.11,0.35,0.52,4983.5,14950.49,24917.48,0,9966991,4983.5,14950.49,24917.48,50,150,250,1,50,150,250,2.38
2021-01-02,Marche,42602,65,479,39516,3086,951,209,1501406,1,2,205.54,0.31,0.5,750.7,2252.11,3753.52,0,1501404,750.7,2252.11,3753.51,50,150,250,1,50,150,250,4.11
2021-01-02,P.A. Bolzano,29850,24,176,28746,1104,391,100,533715,0,4,206.85,0.24,0.45,266.86,800.57,1334.29,0,533711,266.86,800.57,1334.28,50,150,250,1,50,150,250,4.14
2021-01-02,P.A. Trento,22149,41,369,20963,1186,517,60,544745,1,2,217.72,0.68,0.71,272.37,817.12,1361.86,0,544743,272.37,817.11,1361.86,50,150,250,1,50,150,250,4.35
2021-01-02,Piemonte,199319,182,2777,193792,5527,5824,628,4273210,13,23,129.34,0.29,0.48,2136.6,6409.82,10683.03,1,4273188,2136.59,6409.78,10682.97,50,150,250,1,50,150,250,2.59
2021-01-02,Puglia,92703,139,1503,86218,6485,2799,462,3926931,2,4,165.14,0.3,0.54,1963.47,5890.4,9817.33,0,3926927,1963.46,5890.39,9817.32,50,150,250,1,50,150,250,3.3
2021-01-02,Sardegna,31667,41,479,30049,1618,1602,216,1598225,0,1,101.24,0.19,0.3,799.11,2397.34,3995.56,0,1598224,799.11,2397.34,3995.56,50,150,250,1,50,150,250,2.02
2021-01-02,Sicilia,95500,186,1090,88934,6566,2918,644,4840876,11,13,135.64,0.29,0.37,2420.44,7261.31,12102.19,1,4840864,2420.43,7261.3,12102.16,50,150,250,1,50,150,250,2.71
2021-01-02,Toscana,121415,139,825,118557,2858,5033,570,3668333,8,16,77.91,0.24,0.16,1834.17,5502.5,9170.83,1,3668318,1834.16,5502.48,9170.8,50,150,250,1,50,150,250,1.56
2021-01-02,Umbria,29238,47,270,28028,1210,671,97,865013,0,1,139.88,0.48,0.4,432.51,1297.52,2162.53,0,865012,432.51,1297.52,2162.53,50,150,250,1,50,150,250,2.8
2021-01-02,Valle d'Aosta,7297,2,76,7154,143,67,23,123895,0,0,115.42,0.09,1.13,61.95,185.84,309.74,0,123895,61.95,185.84,309.74,50,150,250,1,50,150,250,2.31
